"ad2","psu","hh","id","d1","d2","d3","d4","d5","f1","f2a","f2b","f2c","f2d","f2e","f2f","f2g","f2h","f2i","f2j","f2k","f2l","f2m","f2n","f2o","f2p","f2q","f2r","f2s","f3","f4","f5","f6","f7","a1","a2","a3","a4","a5","a6","a7","a8","k6a","k6b","k6c","k6d","k6e","k6f","ds1","ds2","ds3","ds4","ds5","ds6a","ds6b","ds6c","h1","h2","h3","h4","h5","h6","m1","m2a","m2b","m2c","m2d","m2e","m2f","m2g","m2h","m2i","w1","w2","w3","w4","as1","as2","as3","as4","va2a","va2b","va2c","va2d","wg1","wg2","wg3","wg4","wg5","wg6"
2,202,3,1,1,71,2,5,1,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,2,1,1,NA,1,1,NA,1,2,2,2,2,2,2,2,1,2,1,2,2,1,277,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
2,202,4,1,1,61,2,1,2,1,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,1,0,0,0,2,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,NA,NA,1,1,NA,1,2,2,2,2,2,2,1,2,2,2,2,2,2,276,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
2,202,5,1,1,65,2,1,2,3,2,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,0,2,2,2,2,2,2,2,2,2,1,2,4,4,4,4,3,3,1,1,1,1,1,1,1,1,2,NA,NA,1,1,NA,1,1,1,2,2,2,2,2,2,2,1,2,2,1,256,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
2,202,6,1,1,65,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,0,0,2,2,2,2,2,2,1,2,1,2,4,5,2,5,2,5,1,2,1,1,1,1,1,1,2,NA,NA,1,1,NA,1,2,2,2,2,2,2,2,1,2,2,2,2,2,328,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
2,202,7,1,1,65,1,2,2,2,2,1,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,1,0,0,0,2,2,2,2,2,1,2,2,1,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,NA,NA,1,1,NA,1,1,2,2,2,2,2,2,1,2,2,2,2,2,276,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
2,202,8,1,1,67,1,2,2,2,2,1,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,0,0,0,2,2,2,2,2,2,2,2,1,2,3,2,4,4,2,4,1,1,1,1,1,1,2,2,2,NA,NA,1,1,NA,1,2,1,2,2,2,2,2,2,2,2,1,2,2,279,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
2,202,9,1,1,80,1,2,2,2,2,1,1,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,1,2,0,1,2,2,2,2,2,2,2,2,1,2,5,5,5,5,5,5,1,1,1,2,1,2,2,2,2,NA,NA,1,1,NA,1,1,2,2,2,2,2,2,2,2,2,2,2,2,232,2,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA
2,202,9,2,2,61,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,2,2,2,2,4,4,4,4,3,3,1,1,1,2,1,1,1,1,1,1,NA,2,NA,NA,1,2,2,2,2,2,2,2,1,1,1,1,2,2,244,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
2,202,10,1,1,82,2,5,2,3,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,5,1,1,1,2,1,2,1,1,1,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,263,2,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA
2,202,11,1,1,82,2,5,2,3,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,0,0,0,2,2,2,2,2,2,1,2,1,1,3,3,4,3,4,3,1,1,2,2,1,2,2,2,1,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,240,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA
